District,Building name,Last date of visit of the case(s),Related cases
Sham Shui Po,"Man Lok House, Tai Hang Sai Estate",28/12/2022,
Sham Shui Po,"Man Tai House, Tai Hang Sai Estate",28/12/2022,
Sham Shui Po,"Tower 1, The Pacifica",28/12/2022,
Sham Shui Po,"Tower 2, The Pacifica",28/12/2022,
Sham Shui Po,"Tower 3, The Pacifica",28/12/2022,
Sham Shui Po,"Tower 5, The Pacifica",28/12/2022,
Sham Shui Po,"Tower 6, The Pacifica",28/12/2022,
Sham Shui Po,"Tower 7, The Pacifica",28/12/2022,
Sham Shui Po,Fu Cheong Building,28/12/2022,
Sham Shui Po,"Fu Yuet House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,"Fu Wong House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,"Fu Ying House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,"Fu Leung House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,"Fu Loy House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,"Fu Sing House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,"Fu Wen House, Fu Cheong Estate",28/12/2022,
Sham Shui Po,Florence Plaza,28/12/2022,
Sham Shui Po,Fu Wah Court,28/12/2022,
Sham Shui Po,Po Hay Building,28/12/2022,
Sham Shui Po,Po On Court,28/12/2022,
Sham Shui Po,Po Hing House,28/12/2022,
Sham Shui Po,Po Wah Court,28/12/2022,
Sham Shui Po,"Block B, Po Chak House, Po Lai Court",28/12/2022,
Sham Shui Po,The Ascent,28/12/2022,
Sham Shui Po,"Skylodge 1, Dynasty Heights",28/12/2022,
Sham Shui Po,"Tropicana 5, Dynasty Heights",28/12/2022,
Sham Shui Po,"Chun Yin House, Hang Chun Court",28/12/2022,
Sham Shui Po,"Fook Yat House, Fortune Estate",28/12/2022,
Sham Shui Po,"Fook Ming House, Fortune Estate",28/12/2022,
Sham Shui Po,"Fook Yuet House, Fortune Estate",28/12/2022,
Sham Shui Po,"Block B, Hong Fai Building",28/12/2022,
Sham Shui Po,Yee Wah Court,28/12/2022,
Sham Shui Po,"Yee Lok House, Yee Kok Court",28/12/2022,
Sham Shui Po,"Yee Sau House, Yee Kok Court",28/12/2022,
Sham Shui Po,"Yee Mei House, Yee Kok Court",28/12/2022,
Sham Shui Po,"Ning Ching House, Yee Ching Court",28/12/2022,
Sham Shui Po,"Yat Ching House, Yee Ching Court",28/12/2022,
Sham Shui Po,"Han Ching House, Yee Ching Court",28/12/2022,
Sham Shui Po,Han Hing Building,28/12/2022,
Sham Shui Po,Wellcome Mansion,28/12/2022,
Sham Shui Po,"Tower 1, Seaside Sonata",28/12/2022,
Sham Shui Po,"Tower 2, Seaside Sonata",28/12/2022,
Sham Shui Po,"Tower 3, Seaside Sonata",28/12/2022,
Sham Shui Po,Shing To Building,28/12/2022,
Sham Shui Po,Man Hoi Mansion,28/12/2022,
Sham Shui Po,Sun Ho House,28/12/2022,
Sham Shui Po,"Block 1, Liberte",28/12/2022,
Sham Shui Po,"Block 2, Liberte",28/12/2022,
Sham Shui Po,"Block 3, Liberte",28/12/2022,
Sham Shui Po,"Block 5, Liberte",28/12/2022,
Sham Shui Po,"Block 6, Liberte",28/12/2022,
Sham Shui Po,"Block 7, Liberte",28/12/2022,
Sham Shui Po,Cheung Fai Building,28/12/2022,
Sham Shui Po,Cheung Wah Court,28/12/2022,
Sham Shui Po,Cheong Yuen Building,28/12/2022,
Sham Shui Po,"Tower 1, The Sparkle",28/12/2022,
Sham Shui Po,Gardenia,28/12/2022,
Sham Shui Po,"Tower 1, Manhattan Hill",28/12/2022,
Sham Shui Po,"Tower 3, Manhattan Hill",28/12/2022,
Sham Shui Po,"Tower 5, Manhattan Hill",28/12/2022,
Sham Shui Po,"Tower 6, Manhattan Hill",28/12/2022,
Sham Shui Po,"Yan Oi House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Shun Yee House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Wo Ping House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Wo Muk House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Hau Chi House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Lim Kit House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Chung Hou House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Lai Yeung House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,"Tao Tak House, Lei Cheng Uk Estate",28/12/2022,
Sham Shui Po,Tung Lo Court,28/12/2022,
Sham Shui Po,"Wing Chun House, Wing Cheong Estate",28/12/2022,
Sham Shui Po,Wing Wah Building,28/12/2022,
Sham Shui Po,"Tower 1, Cronin Garden",28/12/2022,
Sham Shui Po,"Tower 2, Cronin Garden",28/12/2022,
Sham Shui Po,"Tower 3, Cronin Garden",28/12/2022,
Sham Shui Po,34-42 Yen Chow Street,28/12/2022,
Sham Shui Po,Wing Ning Building,28/12/2022,
Sham Shui Po,Wing Ming Building,28/12/2022,
Sham Shui Po,"Tower 1, Banyan Garden",28/12/2022,
Sham Shui Po,"Tower 2, Banyan Garden",28/12/2022,
Sham Shui Po,"Tower 3, Banyan Garden",28/12/2022,
Sham Shui Po,"Tower 5, Banyan Garden",28/12/2022,
Sham Shui Po,"Tower 6, Banyan Garden",28/12/2022,
Sham Shui Po,"Tower 7, Banyan Garden",28/12/2022,
Sham Shui Po,Vista,28/12/2022,
Sham Shui Po,Graces Court,28/12/2022,
Sham Shui Po,"Ying Cheong House, Hoi Ying Estate",28/12/2022,
Sham Shui Po,"Ying Fai House, Hoi Ying Estate",28/12/2022,
Sham Shui Po,Hoi Cheung Building,28/12/2022,
Sham Shui Po,"Hoi Cheong House, Hoi Tat Estate",28/12/2022,
Sham Shui Po,"Hoi Wah House, Hoi Tat Estate",28/12/2022,
Sham Shui Po,"Hoi Shun House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Kin House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Wo House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Wai House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Ming House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Ching House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Chi House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Fai House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Hoi Shui House, Hoi Lai Estate",28/12/2022,
Sham Shui Po,"Lai Hong House, Ching Lai Court",28/12/2022,
Sham Shui Po,"Lai Kin House, Ching Lai Court",28/12/2022,
Sham Shui Po,"Lai Hang House, Ching Lai Court",28/12/2022,
Sham Shui Po,"Lai Tai House, Ching Lai Court",28/12/2022,
Sham Shui Po,"Lai Sau House, Ching Lai Court",28/12/2022,
Sham Shui Po,"Fu Chak House, Chak On Estate",28/12/2022,
Sham Shui Po,"Wah Chak House, Chak On Estate",28/12/2022,
Sham Shui Po,"Lai Chak House, Chak On Estate",28/12/2022,
Sham Shui Po,Chak Kwan Building,28/12/2022,
Sham Shui Po,"Block 14, Beacon Heights",28/12/2022,
Sham Shui Po,"Block 15, Beacon Heights",28/12/2022,
Sham Shui Po,"Block 17, Phase 2, Beacon Heights",28/12/2022,
Sham Shui Po,"Block 6, Beacon Heights",28/12/2022,
Sham Shui Po,"Block 8, Beacon Heights",28/12/2022,
Sham Shui Po,"Kin Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Tai Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"On Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Hong Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Sum Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Cheung Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Long Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Ching Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Yun Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Chak Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Shing Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Tsui Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Yue Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Lai Tin House, Pak Tin Estate",28/12/2022,
Sham Shui Po,"Tower 1, Nob Hill",28/12/2022,
Sham Shui Po,"Tower 3, Nob Hill",28/12/2022,
Sham Shui Po,"Block 19, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Block 20, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Block 22, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Block 23, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Leong House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Yue House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Ying House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Pak House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Shing House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Hei House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Sang House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Kwai House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Wui House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Hung House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Mei Yin House, Shek Kip Mei Estate",28/12/2022,
Sham Shui Po,"Block 1, Aqua Marine",28/12/2022,
Sham Shui Po,"Block 2, Aqua Marine",28/12/2022,
Sham Shui Po,"Block 3, Aqua Marine",28/12/2022,
Sham Shui Po,"Block 6, Aqua Marine",28/12/2022,
Sham Shui Po,Wonder Building,28/12/2022,
Sham Shui Po,Fook On Building,28/12/2022,
Sham Shui Po,Fuk Wing Mansion,28/12/2022,
Sham Shui Po,238 Fuk Wing Street,28/12/2022,
Sham Shui Po,Scenic Court,28/12/2022,
Sham Shui Po,Chi Tat Building,28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 10-12 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 23 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 19-21 Glee Path",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 5-7 Glee Path",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 26-28 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 30-32 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 41-43 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 45-47 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 57-59 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 89-91 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 97-99 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 14-16 Nassau Street",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 15 Nassau Street",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 21-23 Nassau Street",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 25-27 Nassau Street",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 30-32 Nassau Street",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 7, 14-16 Lai Wan Road",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 7, 1-3 Mount Sterling Mall",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 114-116 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 8, 126-128 Broadway",28/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 8, 98-100 Broadway",28/12/2022,
Sham Shui Po,"Block 2, Manor Centre",28/12/2022,
Sham Shui Po,"Block 3, Manor Centre",28/12/2022,
Sham Shui Po,"Block 5, Manor Centre",28/12/2022,
Sham Shui Po,"Block 6, Manor Centre",28/12/2022,
Sham Shui Po,Grandview Mansion,28/12/2022,
Sham Shui Po,Emerald Twenty Eight,28/12/2022,
Sham Shui Po,Luen Yick Tai Building,28/12/2022,
Sham Shui Po,Hing Lung Building,28/12/2022,
Sham Shui Po,Fa Po Villa,28/12/2022,
Sham Shui Po,6 Ying Wa Street,28/12/2022,
Sham Shui Po,271 Lai Chi Kok Road,28/12/2022,
Sham Shui Po,Lai Heung Building,28/12/2022,
Sham Shui Po,Greenrich Mansion,28/12/2022,
Sham Shui Po,Wah Kiu Mansion,28/12/2022,
Sham Shui Po,Wah Po House,28/12/2022,
Sham Shui Po,Maple Mansion,28/12/2022,
Sham Shui Po,Great George Building,28/12/2022,
Sham Shui Po,Welland Plaza,28/12/2022,
Sham Shui Po,"Gladiolus House, So Uk Estate",28/12/2022,
Sham Shui Po,"Marigold House, So Uk Estate",28/12/2022,
Sham Shui Po,"Larkspur House, So Uk Estate",28/12/2022,
Sham Shui Po,"Azalea House, So Uk Estate",28/12/2022,
Sham Shui Po,"Peony House, So Uk Estate",28/12/2022,
Sham Shui Po,"Lily House, So Uk Estate",28/12/2022,
Sham Shui Po,"Willow House, So Uk Estate",28/12/2022,
Sham Shui Po,"Camellia House, So Uk Estate",28/12/2022,
Sham Shui Po,"Lotus House, So Uk Estate",28/12/2022,
Sham Shui Po,"Orchid House, So Uk Estate",28/12/2022,
Sham Shui Po,"Cedar House, So Uk Estate",28/12/2022,
Sham Shui Po,Beacon Lodge,28/12/2022,
Sham Shui Po,Kam Shan House,28/12/2022,
Sham Shui Po,Kam Yuck Building,28/12/2022,
Sham Shui Po,"Cheung Yan House, Cheung Sha Wan Estate",28/12/2022,
Sham Shui Po,"Cheung Tai House, Cheung Sha Wan Estate",28/12/2022,
Sham Shui Po,Happy Centre,28/12/2022,
Sham Shui Po,520-522 Castle Peak Road,28/12/2022,
Sham Shui Po,The Sorentino,28/12/2022,
Sham Shui Po,Shun Fat Building,28/12/2022,
Sham Shui Po,Kai Cheong House,28/12/2022,
Sham Shui Po,Hung Cheong Factory Building,28/12/2022,
Sham Shui Po,Hung Hing Mansion,28/12/2022,
Sham Shui Po,Hung Yu Mansion,28/12/2022,
Sham Shui Po,"Lai Tak House, Lai On Estate",28/12/2022,
Sham Shui Po,"Lai Wing House, Lai On Estate",28/12/2022,
Sham Shui Po,"Block 2, Lai Bo Garden",28/12/2022,
Sham Shui Po,"Lai Pak House, Lai Tsui Court",28/12/2022,
Sham Shui Po,"Lai Ki House, Lai Tsui Court",28/12/2022,
Sham Shui Po,"Lai Tong House, Lai Tsui Court",28/12/2022,
Sham Shui Po,"Lai Sum House, Lai Tsui Court",28/12/2022,
Sham Shui Po,"Lai Yeung House, Lai Tsui Court",28/12/2022,
Sham Shui Po,"Lai Yung House, Lai Tsui Court",28/12/2022,
Sham Shui Po,"Lai Kwai House, Lai Kok Estate",28/12/2022,
Sham Shui Po,"Lai Mei House, Lai Kok Estate",28/12/2022,
Sham Shui Po,Lung Hong Building,28/12/2022,
Sham Shui Po,Lung Wa Building,28/12/2022,
Sham Shui Po,AVA61,27/12/2022,
Sham Shui Po,"Tower 3, Trinity Towers",27/12/2022,
Sham Shui Po,Ample Building,27/12/2022,
Sham Shui Po,Lun May Building,27/12/2022,
Sham Shui Po,Kiu Fai Building,27/12/2022,
Sham Shui Po,"Un Wai House, Un Chau Estate",27/12/2022,
Sham Shui Po,"Un Mun House, Un Chau Estate",27/12/2022,
Sham Shui Po,Kwong Wah Building,27/12/2022,
Sham Shui Po,"Tower 5B, Cullinan West",27/12/2022,
Sham Shui Po,"Tower 7, Cullinan West",27/12/2022,
Sham Shui Po,"Tower 8, Cullinan West",27/12/2022,
Sham Shui Po,"Nam Wai House, Nam Shan Estate",27/12/2022,
Sham Shui Po,"Nam Yiu House, Nam Shan Estate",27/12/2022,
Sham Shui Po,"Nam On House, Nam Shan Estate",27/12/2022,
Sham Shui Po,"Cheong On House, Nam Cheong Estate",27/12/2022,
Sham Shui Po,"Cheong Yin House, Nam Cheong Estate",27/12/2022,
Sham Shui Po,"Cheong Chung House, Nam Cheong Estate",27/12/2022,
Sham Shui Po,South Ocean Building,27/12/2022,
Sham Shui Po,Rondall Building,27/12/2022,
Sham Shui Po,"Tower 15, Parc Oasis",27/12/2022,
Sham Shui Po,"Tower 18, Parc Oasis",27/12/2022,
Sham Shui Po,"Tower 21, Parc Oasis",27/12/2022,
Sham Shui Po,"Tower 25, Parc Oasis",27/12/2022,
Sham Shui Po,"Tower 27, Parc Oasis",27/12/2022,
Sham Shui Po,"Tower 32, Parc Oasis",27/12/2022,
Sham Shui Po,"Tower 7, Parc Oasis",27/12/2022,
Sham Shui Po,Heya Delight,27/12/2022,
Sham Shui Po,"Tower 1, Heya Star",27/12/2022,
Sham Shui Po,268 Tai Nan Street,27/12/2022,
Sham Shui Po,"Tung Moon House, Tai Hang Tung Estate",27/12/2022,
Sham Shui Po,"Man On House, Tai Hang Sai Estate",27/12/2022,
Sham Shui Po,"Man Hong House, Tai Hang Sai Estate",27/12/2022,
Sham Shui Po,Prince Centre,27/12/2022,
Sham Shui Po,On Sheung Building,27/12/2022,
Sham Shui Po,The Addition,27/12/2022,
Sham Shui Po,Court Regence,27/12/2022,
Sham Shui Po,Po Cheung Building,27/12/2022,
Sham Shui Po,"Block A, Po Wing Building",27/12/2022,
Sham Shui Po,"Fu Hei House, Po Hei Court",27/12/2022,
Sham Shui Po,"Wing Hei House, Po Hei Court",27/12/2022,
Sham Shui Po,"Po Hong House, Po Lai Court",27/12/2022,
Sham Shui Po,"Tropicana 1, Dynasty Heights",27/12/2022,
Sham Shui Po,"Tropicana 6, Dynasty Heights",27/12/2022,
Sham Shui Po,"Chun Lai House, Hang Chun Court",27/12/2022,
Sham Shui Po,"Yee Hong House, Yee Kok Court",27/12/2022,
Sham Shui Po,Hang Tat Building,27/12/2022,
Sham Shui Po,Hang Shun Building,27/12/2022,
Sham Shui Po,"Tower 5, Seaside Sonata",27/12/2022,
Sham Shui Po,Shing Lam Building,27/12/2022,
Sham Shui Po,Sun Ming Court,27/12/2022,
Sham Shui Po,Sunlight Building,27/12/2022,
Sham Shui Po,"Block 8, Liberte",27/12/2022,
Sham Shui Po,The Prominence,27/12/2022,
Sham Shui Po,High One,27/12/2022,
Sham Shui Po,"Hau Lim House, Lei Cheng Uk Estate",27/12/2022,
Sham Shui Po,Tung Shing Building,27/12/2022,
Sham Shui Po,151 Kweilin Street,27/12/2022,
Sham Shui Po,33 Maple Street,27/12/2022,
Sham Shui Po,Maple Mansion,27/12/2022,
Sham Shui Po,"Wing Kit House, Wing Cheong Estate",27/12/2022,
Sham Shui Po,"Tower 7, Cronin Garden",27/12/2022,
Sham Shui Po,Wing Shing Building,27/12/2022,
Sham Shui Po,Yu Chau House,27/12/2022,
Sham Shui Po,"Tower 8, Banyan Garden",27/12/2022,
Sham Shui Po,Hai Tan Mansion,27/12/2022,
Sham Shui Po,Harbour Park,27/12/2022,
Sham Shui Po,Hyde Park,27/12/2022,
Sham Shui Po,"Hoi Yin House, Hoi Lai Estate",27/12/2022,
Sham Shui Po,"Lai Yue House, Ching Lai Court",27/12/2022,
Sham Shui Po,Yun Fat Building,27/12/2022,
Sham Shui Po,"Block 2, Beacon Heights",27/12/2022,
Sham Shui Po,Fat Tseung Building,27/12/2022,
Sham Shui Po,"Fu Tin House, Pak Tin Estate",27/12/2022,
Sham Shui Po,"Wing Tin House, Pak Tin Estate",27/12/2022,
Sham Shui Po,"Block 21, Shek Kip Mei Estate",27/12/2022,
Sham Shui Po,"Block 24, Shek Kip Mei Estate",27/12/2022,
Sham Shui Po,"Mei Choi House, Shek Kip Mei Estate",27/12/2022,
Sham Shui Po,"Mei Yick House, Shek Kip Mei Estate",27/12/2022,
Sham Shui Po,"Mei Cheong House, Shek Kip Mei Estate",27/12/2022,
Sham Shui Po,"Block 5, Aqua Marine",27/12/2022,
Sham Shui Po,Cheung Hong Building,27/12/2022,
Sham Shui Po,Fuk Wa Mansion,27/12/2022,
Sham Shui Po,Fuk Lung Building,27/12/2022,
Sham Shui Po,Milan Place,27/12/2022,
Sham Shui Po,Shiu Hang Building,27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 1, 5-7 Broadway",27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 2, 15-17 Glee Path",27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 3, 68-70 Broadway",27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 1-3 Nassau Street",27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 5-7 Nassau Street",27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 46 Nassau Street",27/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 8, 94-96 Broadway",27/12/2022,
Sham Shui Po,"Block D, Merlin Centre",27/12/2022,
Sham Shui Po,Manor Centre,27/12/2022,
Sham Shui Po,"Cherry House, So Uk Estate",27/12/2022,
Sham Shui Po,"Begonia House, So Uk Estate",27/12/2022,
Sham Shui Po,Kam Hoi Mansion,27/12/2022,
Sham Shui Po,Golden Cell Court,27/12/2022,
Sham Shui Po,Kam Fai Building,27/12/2022,
Sham Shui Po,Kam Ning House,27/12/2022,
Sham Shui Po,57-59 Cheung Sha Wan Road,27/12/2022,
Sham Shui Po,Sun Yee Mansion,27/12/2022,
Sham Shui Po,4A Apliu Street,27/12/2022,
Sham Shui Po,"Block 1, Lai Bo Garden",27/12/2022,
Sham Shui Po,"Lai Fu House, Lai Kok Estate",27/12/2022,
Sham Shui Po,"Lai Kuk House, Lai Kok Estate",27/12/2022,
Sham Shui Po,Lung On Building,27/12/2022,
Sham Shui Po,Penta House,26/12/2022,
Sham Shui Po,Astoria Crest,26/12/2022,
Sham Shui Po,"Hoi Ting House, Hoi Lok Court",26/12/2022,
Sham Shui Po,"Nam Tai House, Nam Shan Estate",26/12/2022,
Sham Shui Po,"Cheong Shun House, Nam Cheong Estate",26/12/2022,
Sham Shui Po,"Tower 13, Parc Oasis",26/12/2022,
Sham Shui Po,"Tower 14, Parc Oasis",26/12/2022,
Sham Shui Po,"Tower 23, Parc Oasis",26/12/2022,
Sham Shui Po,"Tower 2, Parc Oasis",26/12/2022,
Sham Shui Po,"Tower 31, Parc Oasis",26/12/2022,
Sham Shui Po,The Amused,26/12/2022,
Sham Shui Po,Grandview Building,26/12/2022,
Sham Shui Po,"Tung Kin House, Tai Hang Tung Estate",26/12/2022,
Sham Shui Po,On Fai Building,26/12/2022,
Sham Shui Po,"Fu Hoi House, Fu Cheong Estate",26/12/2022,
Sham Shui Po,"Block A, Hong Fai Building",26/12/2022,
Sham Shui Po,Maison Rose,26/12/2022,
Sham Shui Po,"Yee Kin House, Yee Kok Court",26/12/2022,
Sham Shui Po,Sun On Building,26/12/2022,
Sham Shui Po,Sun Fair Building,26/12/2022,
Sham Shui Po,Sevilla Crest,26/12/2022,
Sham Shui Po,King Yip Building,26/12/2022,
Sham Shui Po,High Park,26/12/2022,
Sham Shui Po,"Tower 2, Manhattan Hill",26/12/2022,
Sham Shui Po,"Block B, Eastland Towers",26/12/2022,
Sham Shui Po,Wing On Building,26/12/2022,
Sham Shui Po,Wing Luen Mansion,26/12/2022,
Sham Shui Po,Wing Loong Building,26/12/2022,
Sham Shui Po,Shamshuipo Building,26/12/2022,
Sham Shui Po,"Lai Ning House, Ching Lai Court",26/12/2022,
Sham Shui Po,Wai Bun Building,26/12/2022,
Sham Shui Po,"Wing Chak House, Chak On Estate",26/12/2022,
Sham Shui Po,"Block 2, Phase 4, Beacon Heights",26/12/2022,
Sham Shui Po,"Block 6, Phase 4, Beacon Heights",26/12/2022,
Sham Shui Po,"Mei Shan House, Shek Kip Mei Estate",26/12/2022,
Sham Shui Po,Cheung Yin Building,26/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 117-119 Broadway",26/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 69-71 Broadway",26/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 4, 85-87 Broadway",26/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 5, 5-7 Humbert Street",26/12/2022,
Sham Shui Po,"Mei Foo Sun Chuen Stage 6, 17-19 Nassau Street",26/12/2022,
Sham Shui Po,"Block 4, Manor Centre",26/12/2022,
Sham Shui Po,Man Woo Building,26/12/2022,
Sham Shui Po,Man On Building,26/12/2022,
Sham Shui Po,The Met. Delight,26/12/2022,
Sham Shui Po,"Carnation House, So Uk Estate",26/12/2022,
Sham Shui Po,Yue Fung House,26/12/2022,
Sham Shui Po,Tung Ming Building,26/12/2022,
Sham Shui Po,Fortune Mansion,26/12/2022,
Sham Shui Po,"Tower 2, Caldecott Hill",26/12/2022,
Sham Shui Po,Kam On Building,26/12/2022,
Sham Shui Po,Capital Building,26/12/2022,
Sham Shui Po,Kent Place,26/12/2022,
Sham Shui Po,Golden Jade Heights,26/12/2022,
Sham Shui Po,Campion Court,26/12/2022,
Sham Shui Po,275 Castle Peak Road,26/12/2022,
Sham Shui Po,Peaceful Mansion,26/12/2022,
Sham Shui Po,Shining Court,26/12/2022,
Sham Shui Po,256 Apliu Street,26/12/2022,
Sham Shui Po,"Lai Ho House, Lai Kok Estate",26/12/2022,
Sham Shui Po,"Lai Huen House, Lai Kok Estate",26/12/2022,
Sham Shui Po,Golden Court,26/12/2022,
Sham Shui Po,One New York,25/12/2022,
Sham Shui Po,"Tower 1, One West Kowloon",25/12/2022,
Sham Shui Po,"Tower 2, One West Kowloon",25/12/2022,
Sham Shui Po,Kiu Chau Building,25/12/2022,
Sham Shui Po,337 Po On Road,25/12/2022,
Sham Shui Po,"Un Fung House, Un Chau Estate",25/12/2022,
Sham Shui Po,27 Kim Shin Lane,25/12/2022,
Sham Shui Po,Koon Kay Mansion,25/12/2022,
Sham Shui Po,111 Pei Ho Street,25/12/2022,
Sham Shui Po,"Tower 1B, Cullinan West",25/12/2022,
Sham Shui Po,"Tower 3, Cullinan West",25/12/2022,
Sham Shui Po,"Nam Fung House, Nam Shan Estate",25/12/2022,
Sham Shui Po,"Tower 12, Parc Oasis",25/12/2022,
Sham Shui Po,"Tower 26, Parc Oasis",25/12/2022,
Sham Shui Po,"Tower 28, Parc Oasis",25/12/2022,
Sham Shui Po,"Tower 29, Parc Oasis",25/12/2022,
Sham Shui Po,"Phase 3, Village Gardens",25/12/2022,
Sham Shui Po,Yau Loy Building,25/12/2022,
Sham Shui Po,Hey Home,25/12/2022,
Sham Shui Po,City Regalia,25/12/2022,
Sham Shui Po,Karly Court,25/12/2022,
Sham Shui Po,5 Verbena Road,25/12/2022,
Sham Shui Po,"Tung Shing House, Tai Hang Tung Estate",25/12/2022,
Sham Shui Po,"Tung Fai House, Tai Hang Tung Estate",25/12/2022,
Sham Shui Po,Wei Sun Building,25/12/2022,
Sham Shui Po,Apollo Building,25/12/2022,
Sham Shui Po,"Block A, Po Fook House, Po Lai Court",25/12/2022,
Sham Shui Po,Southern Lodge,25/12/2022,
Sham Shui Po,Chew Onn Building,25/12/2022,
Sham Shui Po,Junior Staff Married Quarters,25/12/2022,
